Arquivo,Nome Proprietário,CPF,CNPJ,Pessoa,Nome Condutor,CPF,CNPJ,Pessoa,Placa,Marca,Renavam,Local UF,Gravidade
17,,,,,,,,,NEY7257,ACURA/,,,
17,,,,,,,,,NEY7257,ACURA/,,,
17,,,,,,,,,NEY7257,ACURA/,,,
18,,,,,,,,,KJT9301,WALK/,,,
18,,,,,,,,,KJT9301,WALK/,,,
18,,,,,,,,,KJT9301,WALK/,,,
18,,,,,,,,,KJT9301,WALK/,,,
18,,,,,,,,,KJT9301,WALK/,,,
19,,,,,,,,,JYR2706,HAFEI/,,,
19,,,,,,,,,JYR2706,HAFEI/,,,
19,,,,,,,,,JYR2706,HAFEI/,,,
19,,,,,,,,,JYR2706,HAFEI/,,,
19,,,,,,,,,JYR2706,HAFEI/,,,
20,,,,,,,,,NAU6668,GEELY/,,,
20,,,,,,,,,NAU6668,GEELY/,,,
20,,,,,,,,,NAU6668,GEELY/,,,
20,,,,,,,,,NAU6668,GEELY/,,,
20,,,,,,,,,NAU6668,GEELY/,,,
21,Odete Castro,326.784.995-02,,Física,Odete Castro,326.784.995-02,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,SP,
21,Odete Castro,326.784.995-02,,Física,Odete Castro,326.784.995-02,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,SP,
21,Odete Castro,326.784.995-02,,Física,Odete Castro,326.784.995-02,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,SP,
21,Odete Castro,326.784.995-02,,Física,Odete Castro,326.784.995-02,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,SP,
21,Odete Castro,326.784.995-02,,Física,Odete Castro,326.784.995-02,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,SP,
22,Manoel Pimentel,888.867.875-10,,Física,Manoel Pimentel,888.867.875-10,,Física,HYN2930,CHANGAN/MINI STAR CE 1.0 8,,SP,
22,Manoel Pimentel,888.867.875-10,,Física,Manoel Pimentel,888.867.875-10,,Física,HYN2930,CHANGAN/MINI STAR CE 1.0 8,,SP,
22,Manoel Pimentel,888.867.875-10,,Física,Manoel Pimentel,888.867.875-10,,Física,HYN2930,CHANGAN/MINI STAR CE 1.0 8,,SP,
22,Manoel Pimentel,888.867.875-10,,Física,Manoel Pimentel,888.867.875-10,,Física,HYN2930,CHANGAN/MINI STAR CE 1.0 8,,SP,
22,Manoel Pimentel,888.867.875-10,,Física,Manoel Pimentel,888.867.875-10,,Física,HYN2930,CHANGAN/MINI STAR CE 1.0 8,,SP,
23,Diogo Rios,473.512.311-33,,Física,Diogo Rios,473.512.311-33,,Física,MMO9643,Rolls-Royce/Phantom 6.7 V12,,SP,
23,Diogo Rios,473.512.311-33,,Física,Diogo Rios,473.512.311-33,,Física,MMO9643,Rolls-Royce/Phantom 6.7 V12,,SP,
23,Diogo Rios,473.512.311-33,,Física,Diogo Rios,473.512.311-33,,Física,MMO9643,Rolls-Royce/Phantom 6.7 V12,,SP,
23,Diogo Rios,473.512.311-33,,Física,Diogo Rios,473.512.311-33,,Física,MMO9643,Rolls-Royce/Phantom 6.7 V12,,SP,
23,Diogo Rios,473.512.311-33,,Física,Diogo Rios,473.512.311-33,,Física,MMO9643,Rolls-Royce/Phantom 6.7 V12,,SP,
24,Arthur Prado,278.632.393-20,,Física,Arthur Prado,278.632.393-20,,Física,JHI9802,Envemo/Camper 4x4 2.5,,SP,
24,Arthur Prado,278.632.393-20,,Física,Arthur Prado,278.632.393-20,,Física,JHI9802,Envemo/Camper 4x4 2.5,,SP,
24,Arthur Prado,278.632.393-20,,Física,Arthur Prado,278.632.393-20,,Física,JHI9802,Envemo/Camper 4x4 2.5,,SP,
24,Arthur Prado,278.632.393-20,,Física,Arthur Prado,278.632.393-20,,Física,JHI9802,Envemo/Camper 4x4 2.5,,SP,
24,Arthur Prado,278.632.393-20,,Física,Arthur Prado,278.632.393-20,,Física,JHI9802,Envemo/Camper 4x4 2.5,,SP,
25,Cristiano Leite,225.586.421-54,,Física,Cristiano Leite,225.586.421-54,,Física,KEY1693,SHINERAY/SY1020 T20 TRUCK,,SP,
25,Cristiano Leite,225.586.421-54,,Física,Cristiano Leite,225.586.421-54,,Física,KEY1693,SHINERAY/SY1020 T20 TRUCK,,SP,
25,Cristiano Leite,225.586.421-54,,Física,Cristiano Leite,225.586.421-54,,Física,KEY1693,SHINERAY/SY1020 T20 TRUCK,,SP,
25,Cristiano Leite,225.586.421-54,,Física,Cristiano Leite,225.586.421-54,,Física,KEY1693,SHINERAY/SY1020 T20 TRUCK,,SP,
25,Cristiano Leite,225.586.421-54,,Física,Cristiano Leite,225.586.421-54,,Física,KEY1693,SHINERAY/SY1020 T20 TRUCK,,SP,
26,Kléber Bonfim,,,,Kléber Bonfim,,,,NEY7045,AM Gen/Hummer Hard-Top 6.5 4x4 Diesel TB,,,Média
26,Kléber Bonfim,,,,Kléber Bonfim,,,,NEY7045,AM Gen/Hummer Hard-Top 6.5 4x4 Diesel TB,,,Média
26,Kléber Bonfim,,,,Kléber Bonfim,,,,NEY7045,AM Gen/Hummer Hard-Top 6.5 4x4 Diesel TB,,,Média
26,Kléber Bonfim,,,,Kléber Bonfim,,,,NEY7045,AM Gen/Hummer Hard-Top 6.5 4x4 Diesel TB,,,Média
26,Kléber Bonfim,,,,Kléber Bonfim,,,,NEY7045,AM Gen/Hummer Hard-Top 6.5 4x4 Diesel TB,,,Média
27,Kelly Miranda,,,,Kelly Miranda,,,,HMH5586,SHINERAY/SY1020 T20 TRUCKS,,,Média
27,Kelly Miranda,,,,Kelly Miranda,,,,HMH5586,SHINERAY/SY1020 T20 TRUCKS,,,Média
27,Kelly Miranda,,,,Kelly Miranda,,,,HMH5586,SHINERAY/SY1020 T20 TRUCKS,,,Média
27,Kelly Miranda,,,,Kelly Miranda,,,,HMH5586,SHINERAY/SY1020 T20 TRUCKS,,,Média
27,Kelly Miranda,,,,Kelly Miranda,,,,HMH5586,SHINERAY/SY1020 T20 TRUCKS,,,Média
28,Judite Ventura,,,,Judite Ventura,,,,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,,Média
28,Judite Ventura,,,,Judite Ventura,,,,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,,Média
28,Judite Ventura,,,,Judite Ventura,,,,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,,Média
28,Judite Ventura,,,,Judite Ventura,,,,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,,Média
28,Judite Ventura,,,,Judite Ventura,,,,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,,Média
29,José Melo,,,,José Melo,,,,MXH5004,Acura/Integra GS 1.8,,,Média
29,José Melo,,,,José Melo,,,,MXH5004,Acura/Integra GS 1.8,,,Média
29,José Melo,,,,José Melo,,,,MXH5004,Acura/Integra GS 1.8,,,Média
29,José Melo,,,,José Melo,,,,MXH5004,Acura/Integra GS 1.8,,,Média
29,José Melo,,,,José Melo,,,,MXH5004,Acura/Integra GS 1.8,,,Média
30,Aurélio Luz,513.160.432-07,,Física,Aurélio Luz,513.160.432-07,,Física,MSJ8618,LOBINI/H1 1.8 20V Turbo 18,,SP,
30,Aurélio Luz,513.160.432-07,,Física,Aurélio Luz,513.160.432-07,,Física,MSJ8618,LOBINI/H1 1.8 20V Turbo 18,,SP,
30,Aurélio Luz,513.160.432-07,,Física,Aurélio Luz,513.160.432-07,,Física,MSJ8618,LOBINI/H1 1.8 20V Turbo 18,,SP,
30,Aurélio Luz,513.160.432-07,,Física,Aurélio Luz,513.160.432-07,,Física,MSJ8618,LOBINI/H1 1.8 20V Turbo 18,,SP,
30,Aurélio Luz,513.160.432-07,,Física,Aurélio Luz,513.160.432-07,,Física,MSJ8618,LOBINI/H1 1.8 20V Turbo 18,,SP,
31,Manuel Leite,492.318.981-91,,Física,Manuel Leite,492.318.981-91,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,SP,
31,Manuel Leite,492.318.981-91,,Física,Manuel Leite,492.318.981-91,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,SP,
31,Manuel Leite,492.318.981-91,,Física,Manuel Leite,492.318.981-91,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,SP,
31,Manuel Leite,492.318.981-91,,Física,Manuel Leite,492.318.981-91,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,SP,
31,Manuel Leite,492.318.981-91,,Física,Manuel Leite,492.318.981-91,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,SP,
32,Marcia Nakamura,210.238.529-93,,Física,Renan Maia,863.825.415-67,,Física,MXH5004,Acura/Integra GS 1.8,,SP,
32,Marcia Nakamura,210.238.529-93,,Física,Renan Maia,863.825.415-67,,Física,MXH5004,Acura/Integra GS 1.8,,SP,
32,Marcia Nakamura,210.238.529-93,,Física,Renan Maia,863.825.415-67,,Física,MXH5004,Acura/Integra GS 1.8,,SP,
32,Marcia Nakamura,210.238.529-93,,Física,Renan Maia,863.825.415-67,,Física,MXH5004,Acura/Integra GS 1.8,,SP,
32,Marcia Nakamura,210.238.529-93,,Física,Renan Maia,863.825.415-67,,Física,MXH5004,Acura/Integra GS 1.8,,SP,
33,Murilo Ferraz,683.669.436-31,,Física,Murilo Ferraz,683.669.436-31,,Física,MUQ9220,BMW/330iA Exclusive 3.0,,SP,
33,Murilo Ferraz,683.669.436-31,,Física,Murilo Ferraz,683.669.436-31,,Física,MUQ9220,BMW/330iA Exclusive 3.0,,SP,
33,Murilo Ferraz,683.669.436-31,,Física,Murilo Ferraz,683.669.436-31,,Física,MUQ9220,BMW/330iA Exclusive 3.0,,SP,
33,Murilo Ferraz,683.669.436-31,,Física,Murilo Ferraz,683.669.436-31,,Física,MUQ9220,BMW/330iA Exclusive 3.0,,SP,
33,Murilo Ferraz,683.669.436-31,,Física,Murilo Ferraz,683.669.436-31,,Física,MUQ9220,BMW/330iA Exclusive 3.0,,SP,
34,Renato Ventura,667.160.447-95,,Física,Renato Ventura,667.160.447-95,,Física,MXR7315,Rover/Mini Cooper 1.3,,SP,
34,Renato Ventura,667.160.447-95,,Física,Renato Ventura,667.160.447-95,,Física,MXR7315,Rover/Mini Cooper 1.3,,SP,
34,Renato Ventura,667.160.447-95,,Física,Renato Ventura,667.160.447-95,,Física,MXR7315,Rover/Mini Cooper 1.3,,SP,
34,Renato Ventura,667.160.447-95,,Física,Renato Ventura,667.160.447-95,,Física,MXR7315,Rover/Mini Cooper 1.3,,SP,
34,Renato Ventura,667.160.447-95,,Física,Renato Ventura,667.160.447-95,,Física,MXR7315,Rover/Mini Cooper 1.3,,SP,
35,Ivo Ávila,388.464.518-80,,Física,Ivo Ávila,388.464.518-80,,Física,LVK1018,Fyber/Buggy 2000W 1.6 8V,,SP,
35,Ivo Ávila,388.464.518-80,,Física,Ivo Ávila,388.464.518-80,,Física,LVK1018,Fyber/Buggy 2000W 1.6 8V,,SP,
35,Ivo Ávila,388.464.518-80,,Física,Ivo Ávila,388.464.518-80,,Física,LVK1018,Fyber/Buggy 2000W 1.6 8V,,SP,
35,Ivo Ávila,388.464.518-80,,Física,Ivo Ávila,388.464.518-80,,Física,LVK1018,Fyber/Buggy 2000W 1.6 8V,,SP,
35,Ivo Ávila,388.464.518-80,,Física,Ivo Ávila,388.464.518-80,,Física,LVK1018,Fyber/Buggy 2000W 1.6 8V,,SP,
36,Clarissa Salles,835.098.768-57,,Física,Clarissa Salles,835.098.768-57,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
36,Clarissa Salles,835.098.768-57,,Física,Clarissa Salles,835.098.768-57,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
36,Clarissa Salles,835.098.768-57,,Física,Clarissa Salles,835.098.768-57,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
36,Clarissa Salles,835.098.768-57,,Física,Clarissa Salles,835.098.768-57,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
36,Clarissa Salles,835.098.768-57,,Física,Clarissa Salles,835.098.768-57,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
37,Ângelo Pimentel,888.687.454-53,,Física,Ângelo Pimentel,888.687.454-53,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,ES,
37,Ângelo Pimentel,888.687.454-53,,Física,Ângelo Pimentel,888.687.454-53,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,ES,
37,Ângelo Pimentel,888.687.454-53,,Física,Ângelo Pimentel,888.687.454-53,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,ES,
37,Ângelo Pimentel,888.687.454-53,,Física,Ângelo Pimentel,888.687.454-53,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,ES,
37,Ângelo Pimentel,888.687.454-53,,Física,Ângelo Pimentel,888.687.454-53,,Física,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,ES,
38,Ana Pessoa,812.658.659-14,,Física,Ana Pessoa,812.658.659-14,,Física,NFB4339,Matra/Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.,,ES,
38,Ana Pessoa,812.658.659-14,,Física,Ana Pessoa,812.658.659-14,,Física,NFB4339,Matra/Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.,,ES,
38,Ana Pessoa,812.658.659-14,,Física,Ana Pessoa,812.658.659-14,,Física,NFB4339,Matra/Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.,,ES,
38,Ana Pessoa,812.658.659-14,,Física,Ana Pessoa,812.658.659-14,,Física,NFB4339,Matra/Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.,,ES,
38,Ana Pessoa,812.658.659-14,,Física,Ana Pessoa,812.658.659-14,,Física,NFB4339,Matra/Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.,,ES,
39,André Yoshimura,855.151.127-09,,Física,André Yoshimura,855.151.127-09,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
39,André Yoshimura,855.151.127-09,,Física,André Yoshimura,855.151.127-09,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
39,André Yoshimura,855.151.127-09,,Física,André Yoshimura,855.151.127-09,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
39,André Yoshimura,855.151.127-09,,Física,André Yoshimura,855.151.127-09,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
39,André Yoshimura,855.151.127-09,,Física,André Yoshimura,855.151.127-09,,Física,JMU6059,Wake/Way 1.6 Total Flex 8V Mec.,,ES,
40,Arnoldo Chagas,118.229.002-71,,Física,Arnoldo Chagas,118.229.002-71,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,ES,
40,Arnoldo Chagas,118.229.002-71,,Física,Arnoldo Chagas,118.229.002-71,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,ES,
40,Arnoldo Chagas,118.229.002-71,,Física,Arnoldo Chagas,118.229.002-71,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,ES,
40,Arnoldo Chagas,118.229.002-71,,Física,Arnoldo Chagas,118.229.002-71,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,ES,
40,Arnoldo Chagas,118.229.002-71,,Física,Arnoldo Chagas,118.229.002-71,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,ES,
41,Evelyn Takeda,644.274.225-35,,Física,Evelyn Takeda,644.274.225-35,,Física,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,2114684790,AL,Média
41,Evelyn Takeda,644.274.225-35,,Física,Evelyn Takeda,644.274.225-35,,Física,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,2114684790,AL,Média
